"id","section_id","sub_section","question_text"
39,2,"Profitabilitas","[Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
40,2,"Profitabilitas","[Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
41,2,"Profitabilitas","[Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
42,2,"Profitabilitas","[Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
43,2,"Likuiditas","[Likuiditas Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
44,2,"Likuiditas","[Likuiditas Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
45,2,"Likuiditas","[Likuiditas Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
46,2,"Likuiditas","[Likuiditas Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
47,2,"Likuiditas","[Likuiditas Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
48,2,"Likuiditas","[Likuiditas Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
49,2,"Leverage","[Leverage Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
50,2,"Leverage","[Leverage Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
51,2,"Leverage","[Leverage Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
52,2,"Leverage","[Leverage Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
53,2,"Leverage","[Leverage Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
54,2,"Leverage","[Leverage Bagaimana evaluasi indikator kinerja poin ke-6 pada aspek ini?]"
55,2,"Modal Kerja","[Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
56,2,"Modal Kerja","[Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
57,2,"Modal Kerja","[Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
58,2,"Modal Kerja","[Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
59,2,"Modal Kerja","[Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
60,3,"Kapabilitas Tim Akuntansi","[Kapabilitas Tim Akuntansi Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
61,3,"Kapabilitas Tim Akuntansi","[Kapabilitas Tim Akuntansi Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
62,3,"Kapabilitas Tim Akuntansi","[Kapabilitas Tim Akuntansi Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
63,3,"Kapabilitas Tim Akuntansi","[Kapabilitas Tim Akuntansi Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
64,3,"Kapabilitas Tim Akuntansi","[Kapabilitas Tim Akuntansi Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
65,3,"Struktur dan Pedoman Akuntansi","[Struktur dan Pedoman Akuntansi Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
66,3,"Struktur dan Pedoman Akuntansi","[Struktur dan Pedoman Akuntansi Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
67,3,"Struktur dan Pedoman Akuntansi","[Struktur dan Pedoman Akuntansi Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
68,3,"Struktur dan Pedoman Akuntansi","[Struktur dan Pedoman Akuntansi Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
69,3,"Struktur dan Pedoman Akuntansi","[Struktur dan Pedoman Akuntansi Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
70,3,"Desain SOP Akuntansi","[Desain SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
71,3,"Desain SOP Akuntansi","[Desain SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
72,3,"Desain SOP Akuntansi","[Desain SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
73,3,"Desain SOP Akuntansi","[Desain SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
74,3,"Desain SOP Akuntansi","[Desain SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
75,3,"Implementasi SOP Akuntansi","[Implementasi SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
76,3,"Implementasi SOP Akuntansi","[Implementasi SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
77,3,"Implementasi SOP Akuntansi","[Implementasi SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
78,3,"Implementasi SOP Akuntansi","[Implementasi SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
79,3,"Implementasi SOP Akuntansi","[Implementasi SOP Akuntansi Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
80,3,"Integrasi Laporan dan IT","[Integrasi Laporan dan IT Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
81,3,"Integrasi Laporan dan IT","[Integrasi Laporan dan IT Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
82,3,"Integrasi Laporan dan IT","[Integrasi Laporan dan IT Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
83,3,"Integrasi Laporan dan IT","[Integrasi Laporan dan IT Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
84,3,"Integrasi Laporan dan IT","[Integrasi Laporan dan IT Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
85,3,"Pelaporan dan Perencanaan Pajak","[Pelaporan dan Perencanaan Pajak Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
86,3,"Pelaporan dan Perencanaan Pajak","[Pelaporan dan Perencanaan Pajak Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
87,3,"Pelaporan dan Perencanaan Pajak","[Pelaporan dan Perencanaan Pajak Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
88,3,"Pelaporan dan Perencanaan Pajak","[Pelaporan dan Perencanaan Pajak Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
89,3,"Pelaporan dan Perencanaan Pajak","[Pelaporan dan Perencanaan Pajak Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
90,4,"Kapabilitas dan Struktur Tim Finance","[Kapabilitas dan Struktur Tim Finance Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
91,4,"Kapabilitas dan Struktur Tim Finance","[Kapabilitas dan Struktur Tim Finance Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
92,4,"Kapabilitas dan Struktur Tim Finance","[Kapabilitas dan Struktur Tim Finance Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
93,4,"Kapabilitas dan Struktur Tim Finance","[Kapabilitas dan Struktur Tim Finance Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
94,4,"Kapabilitas dan Struktur Tim Finance","[Kapabilitas dan Struktur Tim Finance Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
95,4,"Pengelolaan Arus Kas dan Modal Kerja","[Pengelolaan Arus Kas dan Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
96,4,"Pengelolaan Arus Kas dan Modal Kerja","[Pengelolaan Arus Kas dan Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
97,4,"Pengelolaan Arus Kas dan Modal Kerja","[Pengelolaan Arus Kas dan Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
98,4,"Pengelolaan Arus Kas dan Modal Kerja","[Pengelolaan Arus Kas dan Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
99,4,"Pengelolaan Arus Kas dan Modal Kerja","[Pengelolaan Arus Kas dan Modal Kerja Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
100,4,"Penganggaran dan Forecasting","[Penganggaran dan Forecasting Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
101,4,"Penganggaran dan Forecasting","[Penganggaran dan Forecasting Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
102,4,"Penganggaran dan Forecasting","[Penganggaran dan Forecasting Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
103,4,"Penganggaran dan Forecasting","[Penganggaran dan Forecasting Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
104,4,"Penganggaran dan Forecasting","[Penganggaran dan Forecasting Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
105,4,"Analisis Keuangan dan Profitabilitas","[Analisis Keuangan dan Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
106,4,"Analisis Keuangan dan Profitabilitas","[Analisis Keuangan dan Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
107,4,"Analisis Keuangan dan Profitabilitas","[Analisis Keuangan dan Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
108,4,"Analisis Keuangan dan Profitabilitas","[Analisis Keuangan dan Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
109,4,"Analisis Keuangan dan Profitabilitas","[Analisis Keuangan dan Profitabilitas Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
110,4,"Pengambilan Keputusan Keuangan dan Investasi","[Pengambilan Keputusan Keuangan dan Investasi Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
111,4,"Pengambilan Keputusan Keuangan dan Investasi","[Pengambilan Keputusan Keuangan dan Investasi Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
112,4,"Pengambilan Keputusan Keuangan dan Investasi","[Pengambilan Keputusan Keuangan dan Investasi Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
113,4,"Pengambilan Keputusan Keuangan dan Investasi","[Pengambilan Keputusan Keuangan dan Investasi Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
114,4,"Pengambilan Keputusan Keuangan dan Investasi","[Pengambilan Keputusan Keuangan dan Investasi Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
115,4,"Integrasi Fungsi Keuangan dengan Fungsi Lain","[Integrasi Fungsi Keuangan dengan Fungsi Lain Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
116,4,"Integrasi Fungsi Keuangan dengan Fungsi Lain","[Integrasi Fungsi Keuangan dengan Fungsi Lain Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
117,4,"Integrasi Fungsi Keuangan dengan Fungsi Lain","[Integrasi Fungsi Keuangan dengan Fungsi Lain Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
118,4,"Integrasi Fungsi Keuangan dengan Fungsi Lain","[Integrasi Fungsi Keuangan dengan Fungsi Lain Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
119,4,"Integrasi Fungsi Keuangan dengan Fungsi Lain","[Integrasi Fungsi Keuangan dengan Fungsi Lain Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
120,5,"Kapabilitas dan Struktur Tim Marketing","[Kapabilitas dan Struktur Tim Marketing Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
121,5,"Kapabilitas dan Struktur Tim Marketing","[Kapabilitas dan Struktur Tim Marketing Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
122,5,"Kapabilitas dan Struktur Tim Marketing","[Kapabilitas dan Struktur Tim Marketing Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
123,5,"Kapabilitas dan Struktur Tim Marketing","[Kapabilitas dan Struktur Tim Marketing Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
124,5,"Kapabilitas dan Struktur Tim Marketing","[Kapabilitas dan Struktur Tim Marketing Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
125,5,"Marketing Strategy dan Marketing Plan","[Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
126,5,"Marketing Strategy dan Marketing Plan","[Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
127,5,"Marketing Strategy dan Marketing Plan","[Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
128,5,"Marketing Strategy dan Marketing Plan","[Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
129,5,"Marketing Strategy dan Marketing Plan","[Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
130,5,"SOP Marketing","[SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
131,5,"SOP Marketing","[SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
132,5,"SOP Marketing","[SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
133,5,"SOP Marketing","[SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
134,5,"SOP Marketing","[SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
135,5,"Implementasi Marketing Strategy dan Marketing Plan","[Implementasi Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
136,5,"Implementasi Marketing Strategy dan Marketing Plan","[Implementasi Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
137,5,"Implementasi Marketing Strategy dan Marketing Plan","[Implementasi Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
138,5,"Implementasi Marketing Strategy dan Marketing Plan","[Implementasi Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
139,5,"Implementasi Marketing Strategy dan Marketing Plan","[Implementasi Marketing Strategy dan Marketing Plan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
140,5,"Implementasi SOP Marketing","[Implementasi SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
141,5,"Implementasi SOP Marketing","[Implementasi SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
142,5,"Implementasi SOP Marketing","[Implementasi SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
143,5,"Implementasi SOP Marketing","[Implementasi SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
144,5,"Implementasi SOP Marketing","[Implementasi SOP Marketing Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
145,5,"Integrasi Marketing dengan Digital & Teknologi","[Integrasi Marketing dengan Digital & Teknologi Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
146,5,"Integrasi Marketing dengan Digital & Teknologi","[Integrasi Marketing dengan Digital & Teknologi Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
147,5,"Integrasi Marketing dengan Digital & Teknologi","[Integrasi Marketing dengan Digital & Teknologi Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
148,5,"Integrasi Marketing dengan Digital & Teknologi","[Integrasi Marketing dengan Digital & Teknologi Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
149,5,"Integrasi Marketing dengan Digital & Teknologi","[Integrasi Marketing dengan Digital & Teknologi Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
150,6,"Kapabilitas dan Struktur Tim Sales","[Kapabilitas dan Struktur Tim Sales Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
151,6,"Kapabilitas dan Struktur Tim Sales","[Kapabilitas dan Struktur Tim Sales Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
152,6,"Kapabilitas dan Struktur Tim Sales","[Kapabilitas dan Struktur Tim Sales Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
153,6,"Kapabilitas dan Struktur Tim Sales","[Kapabilitas dan Struktur Tim Sales Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
154,6,"Kapabilitas dan Struktur Tim Sales","[Kapabilitas dan Struktur Tim Sales Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
155,6,"Strategi dan Target Penjualan","[Strategi dan Target Penjualan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
156,6,"Strategi dan Target Penjualan","[Strategi dan Target Penjualan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
157,6,"Strategi dan Target Penjualan","[Strategi dan Target Penjualan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
158,6,"Strategi dan Target Penjualan","[Strategi dan Target Penjualan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
159,6,"Strategi dan Target Penjualan","[Strategi dan Target Penjualan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
160,6,"SOP dan Sistem Penjualan","[SOP dan Sistem Penjualan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
161,6,"SOP dan Sistem Penjualan","[SOP dan Sistem Penjualan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
162,6,"SOP dan Sistem Penjualan","[SOP dan Sistem Penjualan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
163,6,"SOP dan Sistem Penjualan","[SOP dan Sistem Penjualan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
164,6,"SOP dan Sistem Penjualan","[SOP dan Sistem Penjualan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
165,6,"Implementasi SOP Penjualan","[Implementasi SOP Penjualan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
166,6,"Implementasi SOP Penjualan","[Implementasi SOP Penjualan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
167,6,"Implementasi SOP Penjualan","[Implementasi SOP Penjualan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
168,6,"Implementasi SOP Penjualan","[Implementasi SOP Penjualan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
169,6,"Implementasi SOP Penjualan","[Implementasi SOP Penjualan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
170,6,"Monitoring dan Evaluasi Penjualan","[Monitoring dan Evaluasi Penjualan Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
171,6,"Monitoring dan Evaluasi Penjualan","[Monitoring dan Evaluasi Penjualan Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
172,6,"Monitoring dan Evaluasi Penjualan","[Monitoring dan Evaluasi Penjualan Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
173,6,"Monitoring dan Evaluasi Penjualan","[Monitoring dan Evaluasi Penjualan Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
174,6,"Monitoring dan Evaluasi Penjualan","[Monitoring dan Evaluasi Penjualan Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
175,6,"Integrasi dengan Digital dan CRM","[Integrasi dengan Digital dan CRM Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
176,6,"Integrasi dengan Digital dan CRM","[Integrasi dengan Digital dan CRM Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
177,6,"Integrasi dengan Digital dan CRM","[Integrasi dengan Digital dan CRM Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
178,6,"Integrasi dengan Digital dan CRM","[Integrasi dengan Digital dan CRM Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
179,6,"Integrasi dengan Digital dan CRM","[Integrasi dengan Digital dan CRM Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
180,7,"Kapabilitas dan Struktur Tim Operasional","[Kapabilitas dan Struktur Tim Operasional Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
181,7,"Kapabilitas dan Struktur Tim Operasional","[Kapabilitas dan Struktur Tim Operasional Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
182,7,"Kapabilitas dan Struktur Tim Operasional","[Kapabilitas dan Struktur Tim Operasional Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
183,7,"Kapabilitas dan Struktur Tim Operasional","[Kapabilitas dan Struktur Tim Operasional Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
184,7,"Kapabilitas dan Struktur Tim Operasional","[Kapabilitas dan Struktur Tim Operasional Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
185,7,"Desain Proses & SOP Operasional","[Desain Proses & SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
186,7,"Desain Proses & SOP Operasional","[Desain Proses & SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
187,7,"Desain Proses & SOP Operasional","[Desain Proses & SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
188,7,"Desain Proses & SOP Operasional","[Desain Proses & SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
189,7,"Desain Proses & SOP Operasional","[Desain Proses & SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-5 pada aspek ini?]"
190,7,"Implementasi SOP Operasional","[Implementasi SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-1 pada aspek ini?]"
191,7,"Implementasi SOP Operasional","[Implementasi SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-2 pada aspek ini?]"
192,7,"Implementasi SOP Operasional","[Implementasi SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-3 pada aspek ini?]"
193,7,"Implementasi SOP Operasional","[Implementasi SOP Operasional Bagaimana evaluasi indikator kinerja poin ke-4 pada aspek ini?]"
